交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
2024/5/2,TXO,202405,19850,賣權,97,112,90,103,215,103,126,94,105,112,90,,一般,0,0.00%
2024/5/2,TXO,202405,19900,買權,535,570,487,535,67,505,1296,505,520,1090,92,,一般,-85,-13.71%
2024/5/2,TXO,202405,19900,賣權,144,144,101,115,1060,115,2932,106,123,825,72,,一般,3,2.68%
2024/5/2,TXO,202405,19950,買權,458,490,458,490,9,471,6,458,482,490,458,,一般,-100,-16.95%
2024/5/2,TXO,202405,19950,賣權,128,142,111,129,106,129,46,124,132,142,111,,一般,3,2.38%
2024/5/2,TXO,202405,20000,買權,427,500,414,435,232,435,3540,430,446,950,76,,一般,-110,-20.18%
2024/5/2,TXO,202405,20000,賣權,170,186,122,141,2998,141,6559,139,146,920,86,,一般,0,0.00%
2024/5/2,TXO,202405,20050,買權,427,427,399,399,7,399,6,387,404,427,399,,一般,-116,-22.52%
2024/5/2,TXO,202405,20050,賣權,151,170,136,156,111,156,19,147,236,170,136,,一般,5,3.31%
2024/5/2,TXO,202405,20100,買權,375,428,350,367,239,367,3088,364,378,900,72,,一般,-106,-22.41%
2024/5/2,TXO,202405,20100,賣權,214,214,150,173,1739,173,3641,172,182,1020,100,,一般,12,7.45%
2024/5/2,TXO,202405,20150,買權,361,361,325,334,37,334,30,321,345,361,325,,一般,-111,-24.94%
2024/5/2,TXO,202405,20150,賣權,179,209,171,191,166,191,44,181,198,209,171,,一般,16,9.14%
2024/5/2,TXO,202405,20200,買權,300,360,288,304,896,304,2836,301,314,840,59,,一般,-101,-24.94%
2024/5/2,TXO,202405,20200,賣權,220,230,183,209,877,209,2564,208,218,1020,122,,一般,19,10%
2024/5/2,TXO,202405,20250,買權,300,302,262,275,115,275,37,268,275,302,262,,一般,-97,-26.08%
2024/5/2,TXO,202405,20250,賣權,211,252,209,231,197,231,90,221,311,252,209,,一般,22,10.53%
2024/5/2,TXO,202405,20300,買權,272,299,233,249,1291,249,5060,245,257,765,12,,一般,-91,-26.76%
2024/5/2,TXO,202405,20300,賣權,254,276,220,251,1353,251,1414,245,259,1170,139,,一般,23,10.09%
2024/5/2,TXO,202405,20350,買權,245,269,211,224,258,224,66,209,227,269,211,,一般,-88,-28.21%
2024/5/2,TXO,202405,20350,賣權,265,295,240,277,144,277,80,268,292,295,240,,一般,28,11.24%
2024/5/2,TXO,202405,20400,買權,185,246,181,199,1476,199,2506,196,204,685,43.5,,一般,-86,-30.18%
2024/5/2,TXO,202405,20400,賣權,357,357,264,305,593,305,1023,294,310,1210,169,,一般,35,12.96%
2024/5/2,TXO,202405,20450,買權,204,216,168,175,119,175,58,175,181,216,168,,一般,-83,-32.17%
2024/5/2,TXO,202405,20450,賣權,308,354,307,328,39,328,23,322,347,354,307,,一般,36,12.33%
2024/5/2,TXO,202405,20500,買權,157,194,147,155,1981,155,4488,153,160,620,36,,一般,-77,-33.19%
2024/5/2,TXO,202405,20500,賣權,362,386,315,362,234,362,1204,352,374,1270,200,,一般,43,13.48%
2024/5/2,TXO,202405,20550,買權,173,175,128,135,145,135,62,125,147,175,128,,一般,-75,-35.71%
2024/5/2,TXO,202405,20550,賣權,368,420,351,391,17,391,11,383,407,420,351,,一般,47,13.66%
2024/5/2,TXO,202405,20600,買權,132,156,112,118,1919,118,4779,117,120,555,29,,一般,-70,-37.23%
2024/5/2,TXO,202405,20600,賣權,482,482,378,426,184,426,819,419,440,1330,235,,一般,54,14.52%
2024/5/2,TXO,202405,20650,買權,118,134,99,102,128,102,83,93,103,134,99,,一般,-66,-39.29%
2024/5/2,TXO,202405,20650,賣權,450,450,450,450,1,460,1,451,475,450,450,,一般,47,11.66%
2024/5/2,TXO,202405,20700,買權,95,120,85,89,1683,89,3389,88,90,492,24,,一般,-59,-39.86%
2024/5/2,TXO,202405,20700,賣權,476,525,443,481,116,497,417,488,510,1440,274,,一般,53,12.38%
2024/5/2,TXO,202405,20750,買權,104,104,75,76,216,76,128,65,77,104,75,,一般,-55,-41.98%
2024/5/2,TXO,202405,20750,賣權,520,535,520,535,2,535,0,525,545,535,520,,一般,67,14.32%
2024/5/2,TXO,202405,20800,買權,82,92,63,67,2231,67,4676,66,68,440,18.5,,一般,-48,-41.74%
2024/5/2,TXO,202405,20800,賣權,525,575,525,570,18,570,188,565,585,1340,317,,一般,74,14.92%
2024/5/2,TXO,202405,20850,買權,74,76,55,55,221,55,190,53,56,76,55,,一般,-47,-46.08%
2024/5/2,TXO,202405,20850,賣權,-,-,-,-,0,615,0,-,-,-,-,,一般,-,-
